"NID","PE","ING","AL","AD","V","A","O","D"
100.00,1.00,47192.00,10472.00,5857.00,1.00,0.00,0.00,7.00
101.00,2.00,43406.00,9751.00,4271.00,1.00,1.00,0.00,7.00
102.00,1.00,40915.00,7916.00,3863.00,0.00,0.00,0.00,7.00
103.00,1.00,30146.00,5547.00,2634.00,1.00,1.00,0.00,7.00
104.00,3.00,42174.00,7621.00,4571.00,1.00,1.00,0.00,7.00
105.00,4.00,36860.00,6711.00,4824.00,0.00,0.00,0.00,7.00
106.00,5.00,37923.00,8882.00,4176.00,0.00,0.00,0.00,7.00
107.00,2.00,38177.00,7279.00,2812.00,1.00,0.00,0.00,7.00
108.00,3.00,35571.00,5826.00,3578.00,1.00,0.00,0.00,7.00
109.00,3.00,34980.00,7693.00,4556.00,1.00,0.00,0.00,7.00
110.00,4.00,39724.00,7717.00,3519.00,0.00,0.00,0.00,7.00
111.00,2.00,32742.00,5045.00,2912.00,1.00,0.00,0.00,8.00
112.00,2.00,39387.00,8945.00,4168.00,1.00,1.00,0.00,8.00
113.00,2.00,31778.00,6384.00,2763.00,0.00,0.00,0.00,8.00
114.00,2.00,43896.00,8687.00,5034.00,1.00,1.00,0.00,8.00
115.00,5.00,38341.00,7752.00,3420.00,1.00,0.00,0.00,8.00
116.00,3.00,45607.00,8968.00,5667.00,1.00,1.00,0.00,8.00
117.00,3.00,38213.00,7086.00,4273.00,1.00,1.00,0.00,8.00
118.00,5.00,36193.00,8005.00,3672.00,0.00,0.00,0.00,8.00
119.00,1.00,35228.00,6606.00,3684.00,1.00,0.00,0.00,8.00
120.00,1.00,35118.00,7539.00,2563.00,1.00,0.00,0.00,8.00
121.00,4.00,46370.00,9021.00,4299.00,0.00,0.00,0.00,9.00
122.00,3.00,42491.00,9194.00,4336.00,0.00,0.00,1.00,9.00
123.00,3.00,39336.00,7265.00,3913.00,1.00,0.00,0.00,9.00
124.00,1.00,40630.00,7684.00,3853.00,1.00,1.00,0.00,9.00
125.00,1.00,35166.00,7182.00,4439.00,1.00,0.00,0.00,9.00
126.00,4.00,38009.00,8414.00,2943.00,0.00,0.00,0.00,9.00
127.00,4.00,36302.00,8322.00,4657.00,1.00,0.00,0.00,9.00
128.00,1.00,40624.00,8481.00,3783.00,0.00,0.00,0.00,9.00
129.00,1.00,36440.00,7462.00,3184.00,0.00,0.00,0.00,9.00
130.00,2.00,42429.00,9808.00,4105.00,0.00,0.00,1.00,9.00
131.00,2.00,43865.00,10084.00,4690.00,0.00,0.00,0.00,9.00
132.00,2.00,45322.00,10152.00,4529.00,1.00,1.00,0.00,9.00
133.00,5.00,34705.00,6657.00,3803.00,1.00,1.00,0.00,9.00
134.00,5.00,45401.00,8139.00,4114.00,1.00,0.00,0.00,9.00
135.00,2.00,42224.00,8078.00,4246.00,1.00,0.00,0.00,9.00
136.00,2.00,39465.00,8125.00,3001.00,1.00,1.00,0.00,10.00
137.00,1.00,43499.00,8710.00,4230.00,1.00,0.00,0.00,10.00
138.00,3.00,35360.00,6729.00,3638.00,0.00,0.00,0.00,10.00
139.00,2.00,46662.00,10592.00,5239.00,1.00,1.00,0.00,10.00
140.00,1.00,43023.00,8810.00,4119.00,1.00,0.00,0.00,10.00
141.00,1.00,41807.00,8592.00,3864.00,1.00,0.00,0.00,10.00
142.00,2.00,46105.00,10466.00,4004.00,0.00,0.00,0.00,10.00
143.00,4.00,47695.00,9252.00,5200.00,1.00,0.00,0.00,10.00
144.00,3.00,38248.00,7627.00,2451.00,0.00,1.00,0.00,10.00
145.00,4.00,45978.00,9404.00,5308.00,0.00,0.00,0.00,10.00
146.00,4.00,34567.00,7088.00,3830.00,0.00,0.00,0.00,10.00
147.00,3.00,30919.00,6677.00,2516.00,1.00,1.00,0.00,10.00
148.00,4.00,43247.00,8196.00,4161.00,0.00,1.00,0.00,10.00
149.00,3.00,47655.00,8917.00,5920.00,1.00,0.00,0.00,10.00
150.00,4.00,44468.00,8559.00,3966.00,0.00,0.00,0.00,10.00
151.00,2.00,44510.00,9742.00,4816.00,1.00,1.00,0.00,10.00
152.00,4.00,38531.00,7507.00,4435.00,1.00,0.00,0.00,10.00
153.00,3.00,39294.00,7287.00,3749.00,1.00,1.00,0.00,10.00
154.00,4.00,36416.00,7109.00,3806.00,1.00,0.00,0.00,10.00
155.00,2.00,43486.00,9921.00,4050.00,1.00,1.00,0.00,10.00
156.00,1.00,48492.00,10107.00,3719.00,1.00,1.00,1.00,11.00
157.00,3.00,41733.00,8231.00,3592.00,0.00,0.00,0.00,11.00
158.00,2.00,39962.00,7242.00,4576.00,1.00,1.00,0.00,11.00
159.00,4.00,36127.00,7646.00,3575.00,1.00,0.00,0.00,11.00
160.00,1.00,34850.00,7713.00,4055.00,1.00,0.00,0.00,11.00
161.00,3.00,40885.00,8507.00,2977.00,0.00,0.00,0.00,11.00
162.00,2.00,41855.00,7113.00,3630.00,1.00,1.00,0.00,11.00
163.00,3.00,36794.00,6299.00,3530.00,1.00,1.00,0.00,11.00
164.00,2.00,42090.00,7904.00,3856.00,0.00,1.00,1.00,11.00
165.00,3.00,36791.00,7476.00,2944.00,0.00,0.00,0.00,11.00
166.00,5.00,32687.00,6357.00,2681.00,1.00,0.00,1.00,12.00
167.00,4.00,37867.00,8652.00,3870.00,0.00,0.00,0.00,12.00
168.00,2.00,42886.00,7622.00,4527.00,1.00,0.00,0.00,12.00
169.00,3.00,36176.00,7990.00,3679.00,1.00,0.00,0.00,12.00
170.00,3.00,31632.00,5943.00,2194.00,1.00,1.00,0.00,12.00
171.00,3.00,43218.00,8933.00,3739.00,1.00,0.00,0.00,12.00
172.00,2.00,39265.00,7801.00,3178.00,1.00,0.00,0.00,12.00
173.00,3.00,47377.00,10061.00,4175.00,1.00,0.00,0.00,12.00
174.00,2.00,36757.00,7695.00,4355.00,0.00,0.00,1.00,12.00
175.00,2.00,38251.00,7879.00,3460.00,1.00,1.00,0.00,12.00
176.00,4.00,45419.00,9048.00,3745.00,0.00,0.00,0.00,12.00
177.00,3.00,32305.00,5190.00,3239.00,0.00,1.00,0.00,12.00
178.00,2.00,34327.00,6863.00,3273.00,1.00,1.00,0.00,12.00
179.00,6.00,43726.00,7586.00,3571.00,0.00,0.00,0.00,12.00
180.00,3.00,33119.00,6765.00,2836.00,0.00,1.00,0.00,12.00
181.00,3.00,50161.00,11480.00,5371.00,1.00,1.00,0.00,13.00
182.00,3.00,35562.00,7419.00,3060.00,0.00,0.00,0.00,13.00
183.00,1.00,40527.00,9329.00,3424.00,1.00,0.00,0.00,13.00
184.00,3.00,40665.00,7960.00,5061.00,1.00,1.00,0.00,13.00
185.00,2.00,37571.00,8659.00,3713.00,1.00,0.00,0.00,13.00
186.00,3.00,44262.00,8656.00,5269.00,1.00,0.00,0.00,13.00
187.00,2.00,42587.00,8328.00,4256.00,0.00,0.00,0.00,13.00
188.00,3.00,46309.00,9587.00,5368.00,0.00,1.00,0.00,13.00
189.00,5.00,34832.00,7608.00,2837.00,1.00,1.00,1.00,13.00
190.00,2.00,33757.00,6005.00,3761.00,0.00,0.00,0.00,13.00
191.00,3.00,50132.00,9851.00,3822.00,0.00,1.00,0.00,13.00
192.00,1.00,52082.00,11613.00,3612.00,1.00,0.00,0.00,13.00
193.00,1.00,37964.00,7521.00,3225.00,0.00,0.00,1.00,13.00
194.00,2.00,31611.00,6250.00,2985.00,1.00,1.00,1.00,13.00
195.00,4.00,30458.00,6422.00,2637.00,1.00,1.00,0.00,13.00
196.00,1.00,48979.00,9845.00,5538.00,1.00,1.00,0.00,13.00
197.00,4.00,41246.00,8817.00,4574.00,0.00,0.00,0.00,13.00
198.00,1.00,35507.00,7762.00,4029.00,0.00,0.00,0.00,13.00
199.00,4.00,48402.00,8637.00,3665.00,0.00,1.00,0.00,13.00
200.00,4.00,39421.00,8554.00,4000.00,1.00,0.00,0.00,13.00
201.00,3.00,39931.00,8833.00,4287.00,0.00,0.00,0.00,14.00
202.00,4.00,33774.00,6607.00,3301.00,1.00,0.00,0.00,14.00
203.00,2.00,38720.00,7744.00,3177.00,0.00,0.00,0.00,14.00
204.00,5.00,32941.00,6715.00,3134.00,0.00,0.00,0.00,14.00
205.00,1.00,42823.00,9612.00,3248.00,0.00,1.00,0.00,14.00
206.00,1.00,38974.00,7732.00,3905.00,0.00,1.00,0.00,14.00
207.00,5.00,37536.00,6802.00,3807.00,1.00,1.00,0.00,14.00
208.00,2.00,41035.00,8156.00,3975.00,1.00,0.00,1.00,14.00
209.00,1.00,34403.00,7884.00,3914.00,0.00,0.00,0.00,14.00
210.00,4.00,32990.00,6262.00,3069.00,0.00,1.00,0.00,14.00
211.00,3.00,40065.00,8389.00,3788.00,1.00,0.00,0.00,15.00
212.00,2.00,47102.00,9765.00,4542.00,1.00,1.00,0.00,15.00
213.00,4.00,36198.00,7612.00,4422.00,1.00,1.00,1.00,15.00
214.00,2.00,37064.00,7945.00,2919.00,1.00,1.00,0.00,15.00
215.00,2.00,46800.00,10098.00,4658.00,1.00,1.00,1.00,15.00
216.00,1.00,47429.00,11559.00,5310.00,0.00,0.00,0.00,15.00
217.00,4.00,42070.00,7832.00,5770.00,0.00,0.00,0.00,15.00
218.00,4.00,45204.00,8664.00,4849.00,0.00,0.00,0.00,15.00
219.00,4.00,45330.00,8757.00,5030.00,1.00,1.00,1.00,15.00
220.00,2.00,39142.00,8043.00,4326.00,0.00,0.00,0.00,15.00
221.00,5.00,32121.00,6463.00,3676.00,1.00,1.00,0.00,15.00
222.00,4.00,49417.00,9277.00,3692.00,1.00,1.00,1.00,15.00
223.00,1.00,44998.00,8488.00,4144.00,1.00,0.00,0.00,15.00
224.00,3.00,36070.00,7955.00,4008.00,1.00,1.00,0.00,15.00
225.00,1.00,44901.00,9784.00,4313.00,1.00,1.00,0.00,15.00
226.00,4.00,40188.00,8523.00,4964.00,1.00,0.00,0.00,16.00
227.00,2.00,36582.00,6399.00,2997.00,0.00,0.00,0.00,16.00
228.00,1.00,43451.00,8712.00,4229.00,1.00,1.00,0.00,16.00
229.00,3.00,42600.00,8956.00,4177.00,1.00,1.00,0.00,16.00
230.00,2.00,40653.00,8978.00,4467.00,1.00,0.00,0.00,16.00
231.00,4.00,34173.00,6934.00,3540.00,1.00,0.00,0.00,16.00
232.00,3.00,47436.00,9019.00,4888.00,1.00,1.00,0.00,16.00
233.00,3.00,43918.00,8392.00,4108.00,1.00,0.00,0.00,16.00
234.00,4.00,49450.00,10222.00,4489.00,0.00,0.00,0.00,16.00
235.00,4.00,41808.00,8649.00,3686.00,1.00,1.00,0.00,16.00
236.00,1.00,39555.00,7037.00,3510.00,1.00,1.00,0.00,16.00
237.00,4.00,46666.00,9133.00,5199.00,1.00,1.00,0.00,16.00
238.00,3.00,37994.00,7365.00,3442.00,0.00,0.00,0.00,16.00
239.00,3.00,37212.00,6738.00,3399.00,0.00,1.00,1.00,16.00
240.00,2.00,35229.00,5867.00,3730.00,0.00,1.00,0.00,16.00
241.00,1.00,36608.00,6744.00,3128.00,1.00,0.00,0.00,16.00
242.00,3.00,40909.00,8895.00,4045.00,1.00,1.00,0.00,16.00
243.00,5.00,36336.00,7305.00,3755.00,1.00,1.00,1.00,16.00
244.00,3.00,35889.00,7577.00,3933.00,0.00,1.00,0.00,16.00
245.00,1.00,39480.00,9076.00,3932.00,1.00,1.00,0.00,16.00
246.00,2.00,38268.00,8935.00,4441.00,1.00,0.00,0.00,17.00
247.00,3.00,42005.00,9338.00,4404.00,1.00,0.00,0.00,17.00
248.00,1.00,35020.00,7008.00,3594.00,0.00,1.00,0.00,17.00
249.00,3.00,41243.00,8016.00,4243.00,0.00,0.00,0.00,17.00
250.00,4.00,45274.00,9095.00,4040.00,0.00,0.00,0.00,17.00
251.00,2.00,40604.00,9541.00,3940.00,0.00,1.00,0.00,17.00
252.00,2.00,42380.00,8027.00,4639.00,0.00,0.00,0.00,17.00
253.00,3.00,42576.00,9677.00,5134.00,1.00,0.00,1.00,17.00
254.00,3.00,48097.00,8888.00,4592.00,1.00,0.00,1.00,17.00
255.00,4.00,39953.00,8221.00,3777.00,0.00,0.00,0.00,17.00
256.00,3.00,48089.00,10060.00,4481.00,1.00,1.00,0.00,18.00
257.00,5.00,31991.00,6703.00,3139.00,0.00,0.00,0.00,18.00
258.00,1.00,35441.00,7314.00,3259.00,0.00,0.00,0.00,18.00
259.00,4.00,37890.00,8577.00,4205.00,1.00,0.00,0.00,18.00
260.00,3.00,40821.00,8941.00,4876.00,0.00,0.00,0.00,18.00
261.00,1.00,38477.00,7861.00,3534.00,0.00,0.00,0.00,18.00
262.00,4.00,47318.00,9862.00,5333.00,1.00,1.00,0.00,18.00
263.00,1.00,45449.00,9687.00,4681.00,1.00,0.00,1.00,18.00
264.00,4.00,36785.00,6889.00,3175.00,1.00,0.00,0.00,18.00
265.00,1.00,33072.00,7014.00,3152.00,1.00,0.00,0.00,18.00
266.00,4.00,39286.00,7912.00,4801.00,1.00,0.00,0.00,18.00
267.00,2.00,45414.00,10173.00,4864.00,1.00,0.00,1.00,18.00
268.00,4.00,36677.00,6877.00,3251.00,1.00,0.00,0.00,18.00
269.00,3.00,38259.00,7198.00,4419.00,1.00,0.00,0.00,18.00
270.00,1.00,45707.00,9737.00,4726.00,1.00,0.00,0.00,18.00
271.00,5.00,40202.00,8280.00,3030.00,0.00,0.00,0.00,19.00
272.00,4.00,46410.00,8578.00,4537.00,1.00,1.00,0.00,19.00
273.00,4.00,48246.00,8924.00,5293.00,0.00,1.00,0.00,19.00
274.00,2.00,44316.00,8478.00,3759.00,1.00,1.00,0.00,19.00
275.00,1.00,30694.00,6002.00,2399.00,0.00,1.00,1.00,19.00
276.00,1.00,31376.00,5779.00,2986.00,1.00,0.00,0.00,19.00
277.00,2.00,30661.00,6089.00,2259.00,0.00,0.00,0.00,19.00
278.00,1.00,46658.00,9170.00,5198.00,1.00,1.00,0.00,19.00
279.00,4.00,43219.00,8103.00,3726.00,1.00,1.00,0.00,19.00
280.00,2.00,35178.00,7592.00,3272.00,1.00,1.00,0.00,19.00
281.00,3.00,49361.00,9149.00,4214.00,1.00,0.00,1.00,19.00
282.00,1.00,37852.00,6365.00,4703.00,0.00,1.00,0.00,19.00
283.00,4.00,46870.00,10367.00,4850.00,0.00,0.00,0.00,19.00
284.00,3.00,43776.00,9857.00,5217.00,1.00,1.00,0.00,19.00
285.00,2.00,43048.00,8903.00,4669.00,1.00,1.00,0.00,19.00
286.00,3.00,44105.00,8965.00,5267.00,1.00,1.00,1.00,19.00
287.00,2.00,43331.00,9138.00,4418.00,1.00,0.00,0.00,19.00
288.00,2.00,45977.00,9486.00,4375.00,0.00,0.00,0.00,19.00
289.00,1.00,44367.00,9130.00,4178.00,0.00,1.00,0.00,19.00
290.00,1.00,36412.00,7534.00,3145.00,1.00,1.00,0.00,19.00
291.00,5.00,46422.00,10065.00,4441.00,1.00,1.00,0.00,20.00
292.00,2.00,46216.00,9899.00,6186.00,0.00,0.00,0.00,20.00
293.00,6.00,34183.00,7705.00,3797.00,0.00,1.00,0.00,20.00
294.00,3.00,38894.00,7325.00,2577.00,1.00,0.00,0.00,20.00
295.00,5.00,38530.00,7931.00,4032.00,1.00,0.00,0.00,20.00
296.00,5.00,35551.00,6982.00,3757.00,1.00,0.00,0.00,20.00
297.00,5.00,45720.00,9764.00,5103.00,1.00,1.00,0.00,20.00
298.00,3.00,40199.00,8368.00,4627.00,0.00,0.00,0.00,20.00
299.00,4.00,41127.00,7661.00,3132.00,1.00,1.00,0.00,20.00
300.00,1.00,46825.00,9726.00,3774.00,0.00,0.00,0.00,20.00
301.00,4.00,34800.00,7243.00,3820.00,1.00,0.00,0.00,21.00
302.00,3.00,32605.00,5755.00,3204.00,1.00,1.00,0.00,21.00
303.00,4.00,49762.00,10910.00,4880.00,1.00,1.00,0.00,21.00
304.00,1.00,36262.00,6636.00,3140.00,0.00,0.00,0.00,21.00
305.00,4.00,33820.00,6180.00,4037.00,1.00,0.00,0.00,21.00
306.00,1.00,34209.00,6712.00,3197.00,1.00,0.00,0.00,21.00
307.00,4.00,43164.00,7726.00,4049.00,0.00,1.00,0.00,21.00
308.00,2.00,35957.00,6808.00,3000.00,0.00,0.00,0.00,21.00
309.00,1.00,46490.00,10362.00,3952.00,1.00,0.00,0.00,21.00
310.00,4.00,35599.00,7415.00,3502.00,0.00,1.00,0.00,21.00
311.00,6.00,43335.00,9577.00,4593.00,1.00,0.00,0.00,21.00
312.00,4.00,43199.00,8121.00,4642.00,1.00,0.00,0.00,21.00
313.00,4.00,31324.00,7008.00,2988.00,1.00,1.00,0.00,21.00
314.00,4.00,46208.00,10066.00,4519.00,1.00,0.00,0.00,21.00
315.00,5.00,42073.00,8058.00,4230.00,1.00,0.00,0.00,21.00
316.00,2.00,42861.00,8413.00,3468.00,0.00,0.00,0.00,22.00
317.00,3.00,46898.00,10076.00,5645.00,1.00,0.00,0.00,22.00
318.00,1.00,40394.00,7948.00,3985.00,0.00,1.00,1.00,22.00
319.00,5.00,36638.00,7447.00,4592.00,0.00,0.00,0.00,22.00
320.00,5.00,40359.00,7420.00,4409.00,0.00,1.00,0.00,22.00
321.00,2.00,41013.00,8801.00,3988.00,1.00,0.00,0.00,22.00
322.00,4.00,47689.00,9364.00,4700.00,1.00,0.00,0.00,22.00
323.00,1.00,43257.00,9614.00,3770.00,0.00,0.00,0.00,22.00
324.00,1.00,30506.00,6617.00,2897.00,0.00,0.00,0.00,22.00
325.00,2.00,41589.00,7086.00,3925.00,0.00,0.00,0.00,22.00
326.00,4.00,40487.00,8621.00,4345.00,1.00,1.00,1.00,22.00
327.00,5.00,51582.00,10934.00,5506.00,1.00,0.00,0.00,22.00
328.00,1.00,44896.00,9774.00,4076.00,1.00,0.00,0.00,22.00
329.00,3.00,48991.00,10886.00,4228.00,1.00,1.00,0.00,22.00
330.00,1.00,32612.00,6814.00,3169.00,1.00,0.00,0.00,22.00
331.00,3.00,42303.00,8465.00,3282.00,1.00,0.00,1.00,22.00
332.00,3.00,43765.00,10273.00,4572.00,0.00,0.00,0.00,22.00
333.00,3.00,34461.00,7579.00,4115.00,1.00,0.00,0.00,22.00
334.00,6.00,42203.00,8502.00,4297.00,1.00,0.00,0.00,22.00
335.00,2.00,40079.00,9448.00,3429.00,0.00,0.00,0.00,22.00
336.00,1.00,33262.00,7120.00,3106.00,1.00,0.00,0.00,23.00
337.00,1.00,40708.00,8915.00,4175.00,1.00,1.00,0.00,23.00
338.00,2.00,39891.00,6937.00,4481.00,0.00,0.00,0.00,23.00
339.00,2.00,46945.00,9146.00,4768.00,1.00,1.00,1.00,23.00
340.00,6.00,47188.00,8948.00,3655.00,1.00,1.00,0.00,23.00
341.00,3.00,36273.00,7453.00,4207.00,0.00,0.00,0.00,23.00
342.00,3.00,38876.00,7804.00,3700.00,0.00,0.00,0.00,23.00
343.00,1.00,32834.00,6119.00,3764.00,1.00,1.00,0.00,23.00
344.00,3.00,34023.00,6338.00,4023.00,1.00,1.00,0.00,23.00
345.00,2.00,43803.00,10041.00,4234.00,1.00,0.00,0.00,23.00
346.00,5.00,36239.00,7579.00,4181.00,1.00,1.00,0.00,24.00
347.00,3.00,39878.00,8411.00,3490.00,0.00,0.00,0.00,24.00
348.00,4.00,39127.00,6948.00,4278.00,1.00,0.00,0.00,24.00
349.00,6.00,34239.00,7278.00,3121.00,0.00,0.00,0.00,24.00
350.00,2.00,38264.00,7229.00,5006.00,1.00,1.00,0.00,24.00
351.00,2.00,36419.00,7797.00,4460.00,0.00,1.00,0.00,24.00
352.00,3.00,40260.00,7919.00,3905.00,1.00,0.00,0.00,24.00
353.00,4.00,40233.00,7607.00,3604.00,1.00,0.00,0.00,24.00
354.00,5.00,46575.00,9040.00,4427.00,0.00,1.00,0.00,24.00
355.00,2.00,39271.00,7766.00,3659.00,1.00,0.00,1.00,24.00
356.00,4.00,35478.00,7184.00,3823.00,1.00,0.00,0.00,24.00
357.00,4.00,35852.00,7329.00,3933.00,1.00,1.00,0.00,24.00
